Par0,Par0Err,Par1,Par1Err,CaloNum
-0.00018971727515603183,2.679655670940187e-07,2883.521875536584,0.7817879331583022,0
-0.00028489232141480853,4.84101285630398e-07,2737.854376048288,1.0782347700086456,1
-0.0002830424370940821,4.0200583204882203e-07,2764.254587229305,0.808987153167259,2
-0.000264901912052785,3.648093709215371e-07,2767.7630737391946,0.7258480761573709,3
-0.00029231733621452156,5.378535251729532e-07,2811.7838922526516,1.4732459944089327,4
-0.00027470255484800325,4.6341500368467106e-07,2765.4341704553744,0.9287755124974589,5
-0.00023594513681107212,3.9998478954380465e-07,2802.3563967754394,0.9194005500978015,6
-0.0002802832556089762,3.732413123982099e-07,2755.4527784231464,0.6850420011128283,7
-0.0002879532883939987,4.1189099731824916e-07,2740.5091002623817,0.7799988614429975,8
-0.00023850121340922943,3.9980296864855654e-07,2803.1326603522666,0.9104434861601705,9
-0.0002143793394753896,3.066309444922238e-07,2849.882832479743,0.808250482080657,10
-0.00017692165015285692,2.637064655871636e-07,2921.109205437848,0.8822389402689045,11
-0.00018087351134826352,2.700938868010244e-07,2889.2956703568434,0.8354767601785095,12
-0.00019323131036157241,2.9165804183000715e-07,2866.7495121511406,0.8790703061386577,13
-0.000260771452853256,3.606863133030042e-07,2782.735386141837,0.7503110226134672,14
-0.00026422479661215257,3.82926490972148e-07,2762.3636567044227,0.8227496783307455,15
-0.00021968112556908857,3.182553897803815e-07,2830.6257657069286,0.790249406856543,16
-0.00018150769481092233,3.078963657547589e-07,2900.2414136850107,0.9336533870066666,17
-0.00021258008047561974,2.858898371631093e-07,2833.08980415259,0.6747026356165531,18
-0.00020941760994031488,3.0393513746409284e-07,2843.0649301384597,0.8101519575141944,19
-0.0002899608204258797,3.9945407020357705e-07,2726.5958628012527,0.7316474056146759,20
-0.0003262044041901213,4.466924064530962e-07,2700.8763288075647,0.7542089894770425,21
-0.000300748827228839,4.281193256115998e-07,2722.722628987938,0.656039027130017,22
-0.00025055796956156265,3.6022936656991846e-07,2806.782931159545,0.8152657906917551,23
