Mean,MeanErr,CaloNum
1707.753157321449,0.054422317577984436,1
1624.6977811159309,0.05734089123975966,2
1644.5629212631789,0.05219714970529158,3
1655.8426609696483,0.05359883714504051,4
1617.9133465570687,0.05251681812206507,5
1651.0805538903671,0.05364013554197562,6
1669.1128096976063,0.054480650555411,7
1653.3828115870317,0.053113159035045696,8
1646.0591950032453,0.05477170487638488,9
1668.78264699419,0.05404197640592321,10
1690.2900774816933,0.053885865062055956,11
1712.6069868201646,0.05469969560680223,12
1705.7765888253887,0.05674349208284991,13
1689.3487327690227,0.05503616082720785,14
1661.7774935488462,0.05310183913009501,15
1652.0746186279014,0.05375837964317209,16
1679.6899092574054,0.05434779968059068,17
1717.1131493772768,0.05498752822725657,18
1694.4789159514999,0.055842275910541,19
1682.8431261078395,0.05452787320792837,20
1644.6097395770805,0.053464851593146616,21
1636.4823018297477,0.052824541546029356,22
1668.1324385536584,0.05243950746799702,23
1665.359911703612,0.053106809359567526,24
