Calorimeter Number,Mean,StDev
1,3.554799939551115,2.242480236611064
2,3.063177319264415,2.0059212292061117
3,3.633194265285027,2.2354029489702745
4,3.5926622496161014,2.241421844974952
5,3.8471855528944836,2.2197423835936236
6,3.646019317410899,2.2601485439804714
7,3.584642866760149,2.2414432544296186
8,3.686311327431381,2.259015997154165
9,3.439020477815719,2.196564004181609
10,3.637898172109619,2.245639642542969
11,3.5603008764020743,2.27594814242105
12,3.548356141117092,2.2033317999869224
13,3.3292375470038413,2.2154789355369444
14,3.6042549957361327,2.243861074831134
15,3.656350757760294,2.2565767374185235
16,3.5314386518490353,2.1959517667179096
17,3.4437957808379873,2.243189623667513
18,3.5851904041607816,2.244635016980491
19,3.483047855468214,2.2496058778430377
20,3.7066514796102425,2.260313586124462
21,3.5650591840346904,2.2546447247620254
22,3.657404360972532,2.250273518824725
23,3.5440262673984875,2.267222334161574
24,3.445047861807803,2.1724488824934993
